File,Name,Lower_Left_Lon,Lower_Left_Lat,Upper_Right_Lon,Upper_Right_Lat
B4.kml,poly_12,130.938792,31.455459,130.940056,31.456258
B4.kml,poly_13,130.939336,31.454605,130.940053,31.455368
B4.kml,poly_14,130.936986,31.456590,130.938298,31.458272
B4.kml,poly_15,130.936288,31.455684,130.936973,31.457124
B4.kml,poly_16,130.934222,31.461605,130.936405,31.463693
B4.kml,poly_17,130.936106,31.465682,130.938258,31.467035
B4.kml,poly_18,130.935692,31.468652,130.936051,31.470062
B4.kml,poly_19,130.936217,31.468398,130.937540,31.470163
B4.kml,poly_20,130.937272,31.466968,130.938466,31.467836
B4.kml,poly_21,130.938792,31.467412,130.939381,31.468950
B4.kml,poly_22,130.933489,31.463025,130.935719,31.464472
B4.kml,poly_23,130.939955,31.463513,130.942133,31.466879
B4.kml,poly_24,130.941968,31.461637,130.943938,31.462961
B4.kml,poly_25,130.940659,31.459858,130.942185,31.462535
B4.kml,poly_26,130.942652,31.461138,130.943231,31.461626
B4.kml,poly_27,130.944061,31.455289,130.946171,31.458514
B4.kml,poly_28,130.942728,31.458082,130.943879,31.458647
B4.kml,poly_29,130.942703,31.458748,130.943912,31.459965
B4.kml,poly_30,130.945018,31.458936,130.945504,31.459287
B4.kml,poly_31,130.943131,31.459304,130.944875,31.460712
B4.kml,poly_32,130.941394,31.452273,130.943378,31.454279
B4.kml,森林地,130.934204,31.467563,130.935431,31.469477
B4.kml,ROIポリゴン,135.456335,33.723445,135.475836,33.738942
B4.kml,poly_1,135.457206,33.724797,135.469105,33.736406
B4.kml,森林地_1,135.460268,33.725463,135.461717,33.728042
B4.kml,森林地_2,135.459339,33.726110,135.463381,33.733375
B4.kml,森林地_3,135.462891,33.731383,135.468985,33.735954
B4.kml,森林地_4,135.465601,33.731363,135.466313,33.732663
B4.kml,森林地_5,135.464380,33.731694,135.465621,33.732488
B4.kml,森林地_6,135.467371,33.727670,135.468576,33.731364
B4.kml,森林地_7,135.466887,33.728543,135.467465,33.731368
B4.kml,森林地_8,135.465946,33.727610,135.466989,33.730669
B4.kml,森林地_9,135.457208,33.729112,135.461366,33.734314
B4.kml,森林地-10,135.461929,33.734708,135.466224,33.736163
B4.kml,森林地_12,135.462678,33.733936,135.463586,33.734420
B4.kml,Poly_01,134.236150,34.981222,134.251742,34.993160
B4.kml,Poly_02,134.248771,34.977102,134.260852,34.986670
B4.kml,Poly_03,134.219439,34.965891,134.237743,34.978468
B4.kml,ROIポリゴン,134.217157,34.964716,134.263467,34.994550
B4.kml,poly_4,134.230140,34.971809,134.237747,34.977454
B4.kml,poly_5,134.229104,34.974085,134.231106,34.977241
B4.kml,poly_6,134.227039,34.972484,134.230780,34.977255
B4.kml,poly_7,134.227153,34.971819,134.230102,34.975706
B4.kml,poly_8,134.224016,34.970582,134.227226,34.973766
B4.kml,poly_9,134.224606,34.970588,134.228406,34.975087
B4.kml,poly_10,134.226223,34.975344,134.226628,34.976044
B4.kml,poly_11,134.219638,34.966701,134.223532,34.973475
B4.kml,poly_12,134.225828,34.977239,134.230901,34.978455
B4.kml,poly_13,134.252430,34.979249,134.254777,34.980344
M1.kml,ROIポリゴン,139.621738,35.288630,139.630215,35.292838
M1.kml,poly,139.621920,35.288898,139.632283,35.292898
M1.kml,ポリゴン2,139.624258,35.288730,139.625906,35.289728
M1.kml,poly,141.437120,38.782229,141.448933,38.790505
M1.kml,poly_1,141.761082,42.696261,141.775917,42.708476
M1.kml,poly_2,141.770301,42.695646,141.776577,42.700586
M1.kml,poly_1,141.177686,39.853503,141.187899,39.857041
M1.kml,poly_2,141.179380,39.857821,141.182927,39.862008
M1.kml,poly_3,141.183108,39.856298,141.189061,39.861645
M1.kml,poly_4,141.187193,39.856349,141.194337,39.864816
M1.kml,poly_5,141.185950,39.860808,141.190471,39.862339
M1.kml,poly,141.412029,39.234242,141.424526,39.247267
M1.kml,poly_1,141.045746,38.410780,141.056051,38.418250
M1.kml,poly_2,141.050943,38.418032,141.058097,38.423298
M1.kml,ROIポリゴン,140.743887,37.796042,140.757104,37.806229
M1.kml,Poly,140.744199,37.796770,140.757087,37.805662
M1.kml,poly_1,140.744201,37.802894,140.747286,37.804735
M1.kml,ROIポリゴン,140.742115,37.775092,140.761011,37.784528
M1.kml,poly_1,140.742683,37.776096,140.753242,37.783656
M1.kml,poly_2,140.752887,37.775564,140.757286,37.779979
M1.kml,poly_3,140.756072,37.775781,140.760421,37.780566
M1.kml,ROIポリゴン,139.270610,37.795318,139.285197,37.813101
M1.kml,poly_1,139.270981,37.795339,139.279094,37.801004
M1.kml,poly_2,139.275526,37.802111,139.282987,37.810775
M1.kml,poly_3,139.278434,37.809730,139.282786,37.812671
M1.kml,poly_not_tree,139.277656,37.803259,139.280731,37.804771
M1.kml,poly_not2,139.276795,37.802491,139.278922,37.804303
M1.kml,ROIポリゴン,138.886131,37.836816,138.899068,37.851259
M1.kml,poly,138.887397,37.837263,138.899097,37.850834
M1.kml,poly_tree,138.890312,37.844636,138.893958,37.848525
M1.kml,poly_teee2,138.889999,37.840870,138.893532,37.844373
M1.kml,poly_tree3,138.888808,37.839005,138.890400,37.840355
M1.kml,poly_tree4,138.893950,37.848358,138.896690,37.850833
M1.kml,poly_tree5,138.888020,37.845910,138.890111,37.847420
M1.kml,poly_tree6,138.888246,37.847535,138.888583,37.847939
M1.kml,poly_tree7,138.889302,37.847640,138.890861,37.848773
M1.kml,ROIポリゴン,140.274718,37.456370,140.290307,37.471555
M1.kml,poly_1,140.277524,37.466859,140.282066,37.470898
M1.kml,poly_2,140.275298,37.456428,140.286347,37.467570
M1.kml,poly_3,140.281501,37.456396,140.290004,37.464632
M1.kml,ROIポリゴン,140.074500,37.118497,140.120489,37.143995
M1.kml,ROIポリゴン,140.715682,37.013530,140.725558,37.026706
M1.kml,ROIポリゴン,140.261423,36.411987,140.272589,36.422892
M1.kml,ROIポリゴン,138.927347,36.304392,138.944899,36.314130
M1.kml,ROIポリゴン,137.026678,37.207804,137.045236,37.224307
M1.kml,ROIポリゴン,136.837257,36.764572,136.849963,36.780894
M1.kml,ROIポリゴン,132.773610,34.745833,132.792379,34.759828
M1.kml,poly,140.320617,35.174967,140.329117,35.181153
M1.kml,poly,140.287223,35.294269,140.299797,35.300923
M1.kml,ROIポリゴン,139.316826,35.821510,139.323552,35.828563
M1.kml,ROIポリゴン,140.401869,36.492141,140.418439,36.498769
M1.kml,ROIポリゴン,140.212832,35.961367,140.227401,35.969798
M1.kml,ROIポリゴン,140.449906,36.752848,140.457350,36.762046
M1.kml,poly,140.450956,36.754017,140.456646,36.761609
M1.kml,ROIポリゴン,140.096574,36.722130,140.109204,36.735098
M1.kml,poly_1,140.099774,36.722565,140.106589,36.729078
M1.kml,poly_2,140.096778,36.727466,140.102511,36.734756
M1.kml,ROIポリゴン,140.602918,36.654614,140.611887,36.662678
M1.kml,poly,140.603476,36.655298,140.611427,36.662647
M1.kml,ROIポリゴン,140.622223,36.661319,140.632645,36.667132
M1.kml,poly,140.622570,36.661660,140.632071,36.666797
M1.kml,ROIポリゴン,139.950328,36.934034,139.960697,36.940567
M1.kml,ROIポリゴン,138.927984,36.716828,138.933510,36.722171
M1.kml,ROIポリゴン,140.214337,36.387510,140.226673,36.392459
M1.kml,ROIポリゴン,140.439146,36.084447,140.452395,36.093731
M1.kml,poly_1,140.439274,36.085811,140.447305,36.093166
M1.kml,poly_2,140.448228,36.087567,140.451140,36.090500
M1.kml,poly_3,140.442694,36.084883,140.446852,36.086725
M1.kml,poly_4,140.447400,36.085086,140.451806,36.086741
M1.kml,poly_5,140.450087,36.085244,140.451804,36.086194
